Unnamed: 0,2023-06-30
RepurchaseOfCapitalStock,-7353000000.0
RepaymentOfDebt,-18228000000.0
IssuanceOfDebt,21165000000.0
CapitalExpenditure,-3062000000.0
InterestPaidSupplementalData,721000000.0
IncomeTaxPaidSupplementalData,4278000000.0
EndCashPosition,8246000000.0
BeginningCashPosition,7214000000.0
EffectOfExchangeRateChanges,-170000000.0
ChangesInCash,1202000000.0
FinancingCashFlow,-12146000000.0
CashFlowFromContinuingFinancingActivities,-12146000000.0
ProceedsFromStockOptionExercised,1269000000.0
CashDividendsPaid,-8999000000.0
CommonStockDividendPaid,
NetCommonStockIssuance,-7353000000.0
CommonStockPayments,-7353000000.0
NetIssuancePaymentsOfDebt,2937000000.0
NetShortTermDebtIssuance,818000000.0
ShortTermDebtPayments,-16350000000.0
ShortTermDebtIssuance,17168000000.0
NetLongTermDebtIssuance,2119000000.0
LongTermDebtPayments,-1878000000.0
LongTermDebtIssuance,3997000000.0
InvestingCashFlow,-3500000000.0
CashFlowFromContinuingInvestingActivities,-3500000000.0
NetOtherInvestingChanges,327000000.0
NetInvestmentPurchaseAndSale,
SaleOfInvestment,
PurchaseOfInvestment,
NetBusinessPurchaseAndSale,-765000000.0
PurchaseOfBusiness,-765000000.0
CapitalExpenditureReported,-3062000000.0
OperatingCashFlow,16848000000.0
CashFlowFromContinuingOperatingActivities,16848000000.0
ChangeInWorkingCapital,-1220000000.0
ChangeInOtherWorkingCapital,-1107000000.0
ChangeInPayablesAndAccruedExpense,313000000.0
ChangeInPayable,313000000.0
ChangeInAccountPayable,313000000.0
ChangeInInventory,-119000000.0
ChangeInReceivables,-307000000.0
ChangesInAccountReceivables,-307000000.0
OtherNonCashItems,564000000.0
StockBasedCompensation,545000000.0
AssetImpairmentCharge,0.0
DeferredTax,-453000000.0
DeferredIncomeTax,-453000000.0
DepreciationAmortizationDepletion,2714000000.0
DepreciationAndAmortization,2714000000.0
OperatingGainsLosses,-40000000.0
NetIncomeFromContinuingOperations,14738000000.0
TaxEffectOfUnusualItems,0.0
TaxRateForCalcs,0.017
NormalizedEBITDA,21823000000.0
TotalUnusualItems,0.0
TotalUnusualItemsExcludingGoodwill,0.0
NetIncomeFromContinuingOperationNetMinorityInterest,14653000000.0
ReconciledDepreciation,2714000000.0
ReconciledCostOfRevenue,42760000000.0
EBITDA,21823000000.0
EBIT,19109000000.0
NetInterestIncome,-449000000.0
InterestExpense,756000000.0
InterestIncome,307000000.0
NormalizedIncome,14653000000.0
NetIncomeFromContinuingAndDiscontinuedOperation,14653000000.0
TotalExpenses,63872000000.0
TotalOperatingIncomeAsReported,18134000000.0
DilutedAverageShares,2483900000.0
BasicAverageShares,2368200000.0
DilutedEPS,5.9
BasicEPS,6.07
DilutedNIAvailtoComStockholders,14653000000.0
AverageDilutionEarnings,282000000.0
NetIncomeCommonStockholders,14371000000.0
PreferredStockDividends,282000000.0
NetIncome,14653000000.0
MinorityInterests,-85000000.0
NetIncomeIncludingNoncontrollingInterests,14738000000.0
NetIncomeContinuousOperations,14738000000.0
TaxProvision,3615000000.0
PretaxIncome,18353000000.0
OtherIncomeExpense,668000000.0
OtherNonOperatingIncomeExpenses,668000000.0
SpecialIncomeCharges,0.0
ImpairmentOfCapitalAssets,0.0
NetNonOperatingInterestIncomeExpense,-449000000.0
InterestExpenseNonOperating,756000000.0
InterestIncomeNonOperating,307000000.0
OperatingIncome,18134000000.0
OperatingExpense,21112000000.0
SellingGeneralAndAdministration,21112000000.0
GrossProfit,39246000000.0
CostOfRevenue,42760000000.0
TotalRevenue,82006000000.0
OperatingRevenue,82006000000.0
