Unnamed: 0,2024-12-31
TreasurySharesNumber,712921000.0
OrdinarySharesNumber,2406922000.0
ShareIssued,3119843000.0
NetDebt,12529000000.0
TotalDebt,36634000000.0
TangibleBookValue,-10328000000.0
InvestedCapital,108124000000.0
WorkingCapital,5572000000.0
NetTangibleAssets,-10328000000.0
CommonStockEquity,71490000000.0
TotalCapitalization,102141000000.0
TotalEquityGrossMinorityInterest,71490000000.0
StockholdersEquity,71490000000.0
GainsLossesNotAffectingRetainedEarnings,-11741000000.0
OtherEquityAdjustments,-11741000000.0
TreasuryStock,75680000000.0
RetainedEarnings,
AdditionalPaidInCapital,155791000000.0
CapitalStock,3120000000.0
CommonStock,3120000000.0
PreferredStock,0.0
TotalLiabilitiesNetMinorityInterest,108614000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,58293000000.0
OtherNonCurrentLiabilities,17549000000.0
LiabilitiesHeldforSaleNonCurrent,
EmployeeBenefits,7255000000.0
TradeandOtherPayablesNonCurrent,390000000.0
NonCurrentDeferredLiabilities,2448000000.0
NonCurrentDeferredTaxesLiabilities,2448000000.0
LongTermDebtAndCapitalLeaseObligation,30651000000.0
LongTermDebt,30651000000.0
CurrentLiabilities,50321000000.0
OtherCurrentLiabilities,
CurrentDebtAndCapitalLeaseObligation,5983000000.0
CurrentDebt,5983000000.0
PensionandOtherPostRetirementBenefitPlansCurrent,4126000000.0
PayablesAndAccruedExpenses,40212000000.0
CurrentAccruedExpenses,26129000000.0
Payables,14083000000.0
TotalTaxPayable,3772000000.0
IncomeTaxPayable,3772000000.0
AccountsPayable,10311000000.0
TotalAssets,180104000000.0
TotalNonCurrentAssets,124211000000.0
OtherNonCurrentAssets,11414000000.0
NonCurrentDeferredAssets,10461000000.0
NonCurrentDeferredTaxesAssets,10461000000.0
GoodwillAndOtherIntangibleAssets,81818000000.0
OtherIntangibleAssets,37618000000.0
Goodwill,44200000000.0
NetPPE,20518000000.0
AccumulatedDepreciation,-28250000000.0
GrossPPE,48768000000.0
ConstructionInProgress,6289000000.0
MachineryFurnitureEquipment,29444000000.0
BuildingsAndImprovements,12317000000.0
LandAndImprovements,718000000.0
Properties,0.0
CurrentAssets,55893000000.0
OtherCurrentAssets,
AssetsHeldForSaleCurrent,
PrepaidAssets,
Inventory,12444000000.0
FinishedGoods,7292000000.0
WorkInProcess,2815000000.0
RawMaterials,2337000000.0
Receivables,18927000000.0
OtherReceivables,4085000000.0
AccountsReceivable,14842000000.0
AllowanceForDoubtfulAccountsReceivable,-167000000.0
GrossAccountsReceivable,15009000000.0
