Unnamed: 0,2023-12-31
TreasurySharesNumber,305800000.0
OrdinarySharesNumber,651800000.0
ShareIssued,957600000.0
NetDebt,12518000000.0
TotalDebt,21536000000.0
TangibleBookValue,-5424000000.0
InvestedCapital,36299000000.0
WorkingCapital,4963000000.0
NetTangibleAssets,-5424000000.0
CapitalLeaseObligations,1093000000.0
CommonStockEquity,15856000000.0
TotalCapitalization,32418000000.0
TotalEquityGrossMinorityInterest,16441000000.0
MinorityInterest,585000000.0
StockholdersEquity,15856000000.0
GainsLossesNotAffectingRetainedEarnings,-4135000000.0
OtherEquityAdjustments,-4135000000.0
TreasuryStock,38008000000.0
RetainedEarnings,47979000000.0
AdditionalPaidInCapital,9062000000.0
CapitalStock,958000000.0
CommonStock,958000000.0
TotalLiabilitiesNetMinorityInterest,45084000000.0
TotalNonCurrentLiabilitiesNetMinorityInterest,26545000000.0
OtherNonCurrentLiabilities,2172000000.0
PreferredSecuritiesOutsideStockEquity,
EmployeeBenefits,1476000000.0
NonCurrentPensionAndOtherPostretirementBenefitPlans,1476000000.0
NonCurrentAccruedExpenses,
TradeandOtherPayablesNonCurrent,1742000000.0
NonCurrentDeferredLiabilities,3265000000.0
NonCurrentDeferredRevenue,1171000000.0
NonCurrentDeferredTaxesLiabilities,2094000000.0
LongTermDebtAndCapitalLeaseObligation,17459000000.0
LongTermCapitalLeaseObligation,897000000.0
LongTermDebt,16562000000.0
LongTermProvisions,431000000.0
CurrentLiabilities,18539000000.0
OtherCurrentLiabilities,
CurrentDeferredLiabilities,3499000000.0
CurrentDeferredRevenue,3499000000.0
CurrentDebtAndCapitalLeaseObligation,4077000000.0
CurrentCapitalLeaseObligation,196000000.0
CurrentDebt,3881000000.0
OtherCurrentBorrowings,3881000000.0
PensionandOtherPostRetirementBenefitPlansCurrent,1322000000.0
CurrentProvisions,227000000.0
PayablesAndAccruedExpenses,9414000000.0
CurrentAccruedExpenses,1709000000.0
InterestPayable,217000000.0
Payables,7705000000.0
TotalTaxPayable,856000000.0
IncomeTaxPayable,680000000.0
AccountsPayable,6849000000.0
TotalAssets,61525000000.0
TotalNonCurrentAssets,38023000000.0
OtherNonCurrentAssets,9582000000.0
NonCurrentDeferredAssets,392000000.0
NonCurrentDeferredTaxesAssets,392000000.0
NonCurrentAccountsReceivable,170000000.0
InvestmentsAndAdvances,939000000.0
GoodwillAndOtherIntangibleAssets,21280000000.0
OtherIntangibleAssets,3231000000.0
Goodwill,18049000000.0
